name,code,year_2000,year_2001,year_2002,year_2003,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,tsvData.mapcolor7,tsvData.mapcolor8,tsvData.mapcolor9,tsvData.mapcolor13,population,iso_a3,iso_n3,continent,subregion,region,average
"Afghanistan","AFG",152.85208697990021,154.64844339052027,154.77974440338662,155.13296119654512,155.20120718783835,154.18515809035372,153.46573482004663,152.49307578274633,151.15417464095128,149.53632697166424,148.0239351371016,146.48471987325397,144.85864941603336,143.49696758392855,142.18630446477417,140.94801667738679,140.07304784097971,139.3124372632218,5,6,8,7,28400000,"AFG",4,"Asia","Southern Asia","South Asia",148.82405509559069
"Albania","ALB",111.85588741671228,110.95555854535428,111.56196810717023,111.93839293020982,111.57027288708483,109.88461268547441,109.19147925356775,107.62347574886005,108.12720045077849,106.57086857754719,105.80553979088621,106.16097906855184,105.97612556159295,106.07646363911634,106.72823892488408,106.61715835367337,106.42932703759678,105.99194057422487,1,4,1,6,3639453,"ALB",8,"Europe","Southern Europe","Europe & Central Asia",108.28141608629366
"Algeria","DZA",69.422497837340941,69.605857822120981,70.011689347892727,70.653917849309607,71.139468745680787,71.492159190956826,71.712089423260764,71.89291218276972,72.038653990574332,72.301190924302617,71.74418825669656,70.605764930616715,69.575642039877607,68.717031529472408,68.0966568484494,67.574977403106956,66.833943373192284,66.317423282388148,5,1,6,3,34178188,"DZA",12,"Africa","Northern Africa","Middle East & North Africa",69.985336943222748
"American Samoa","ASM",134.16998158009378,134.63069946580956,135.42531695136492,138.04239959915955,141.17087382171351,144.23328305562364,146.73318791857051,147.74571991417773,148.11905114451869,149.53824357297023,149.9837165814881,151.36176170328991,151.65912082900326,152.22073858556635,151.7955851785766,152.43021893554385,151.73286092602441,151.20168515781259,4,5,1,1,65628,"ASM",16,"Oceania","Polynesia","East Asia & Pacific",146.23302471785041
"Andean Latin America","",120.94947730764048,117.17985735047955,118.53422122885314,119.89394363636056,118.8999007431576,118.41414694563319,116.51302141107907,115.25952365622503,115.84252057231549,117.97889826250432,117.73258932100019,115.93295106432473,113.54530201484248,110.61960259899156,107.85290907625496,105.96130968334857,105.72888289957791,105.2906421969801,,,,,,"",,"","","",114.56276110942049
"Andorra","AND",134.40487925506369,133.01045454752827,131.75896233500043,131.20040343026187,131.55242099158392,130.85554477648228,129.79955135329644,129.0311514568395,128.63987918686263,128.62280566337819,128.2055062826937,127.42070946681208,126.9736724105518,126.80745924075045,126.40607508736726,125.61874324871935,125.3442601786487,124.9874701015207,1,4,1,8,83888,"AND",20,"Europe","Southern Europe","Europe & Central Asia",128.92444161185341
"Angola","AGO",130.91526400669625,128.33411423415177,126.57204011662223,126.11842998843765,126.4739719872065,123.97435432975759,122.7853492964456,120.76402431130941,120.03111611904251,119.12264792579991,118.23270804701363,117.56397919844743,117.07529016430739,116.23247180040154,113.84932462347511,113.48442933587484,112.93367266065235,112.27161550522436,3,2,6,1,12799293,"AGO",24,"Africa","Middle Africa","Sub-Saharan Africa",120.37415575838145
"Antigua and Barbuda","ATG",133.08985173252708,131.67569608910017,131.46508325259975,129.56083907320871,128.16837594983807,125.90134189662933,125.66072609340004,124.66211584750316,123.79251645940792,123.15327164729133,123.08388214157929,123.03363954722471,123.68098654060766,122.87242988863719,123.2815112177724,122.40971684210709,122.13490777807478,121.71549735249111,2,2,5,5,85632,"ATG",28,"North America","Caribbean","Latin America & Caribbean",125.51902163055554
"Argentina","ARG",155.93500579839568,155.28975891412927,156.08345228477245,156.60415620623672,152.32572601615675,149.94616204106404,149.244074606454,151.41929467382718,146.88491030156041,146.4902325685442,144.240001072717,143.43455746701829,142.92287915301938,141.81794011851017,139.33662560854285,138.88260107150754,139.6356814350786,138.74041798217124,3,1,3,13,40913584,"ARG",32,"South America","South America","Latin America & Caribbean",147.17963762887254
"Armenia","ARM",134.44603489064349,134.62750452164389,137.1259572508898,139.23399400185392,139.74723874175504,141.5784170241063,143.55602496331343,144.08560691663993,147.50451924646924,148.28629925514426,148.08237928278319,146.10841948196608,144.15820400430835,142.09772014050765,141.87041511787044,142.6996307426065,140.76057151884473,139.48196876901628,3,1,2,10,2967004,"ARM",51,"Asia","Western Asia","Europe & Central Asia",141.96949477057569
"Australasia","",144.45184226073422,142.11041324587393,141.4930684523911,138.93319364592722,136.58185950149792,133.53685077443458,131.56053768574429,132.35406536367566,131.42441255986932,129.59712766840627,127.37254057954777,125.75180917468347,122.63400242896977,121.11668292951339,121.66319608855416,121.7766204142069,121.37776039625331,122.73171887017679,,,,,,"",,"","","",130.35931678002555
"Australia","AUS",142.24652732673178,139.76489706408589,139.07026227798863,136.31586479403217,134.10454541967638,131.25382404704857,129.19690699976567,130.09105821732,129.17515857367903,127.46209017896985,125.36244419592349,123.66555935404142,120.23274293843509,118.95019405804371,119.70825851270837,120.19998366483331,119.92563073993203,121.60753085991489,1,2,2,7,21262641,"AUS",36,"Oceania","Australia and New Zealand","East Asia & Pacific",128.24074884572946
"Austria","AUT",139.97886795484874,136.10209565001909,134.54659553658257,133.50345825810064,130.21504777917502,128.73444497430319,125.3098023847197,125.55989384648696,124.89193455001687,127.49546042682955,126.82755830083008,126.99468014714137,125.95074417665124,124.79871578826167,124.1154347660877,122.7212581193576,121.11473572452272,120.74914856065621,3,1,3,4,8210281,"AUT",40,"Europe","Western Europe","Europe & Central Asia",127.7561042746995
"Azerbaijan","AZE",117.18398433753799,115.8898364242992,117.75848941608083,120.36198659179188,120.07471437136546,121.19120754143383,121.10515763145699,118.88036663862835,119.5252412627993,119.47339261452623,119.83218239375425,119.5695049705608,119.09843943832706,119.19683381402344,118.99290696392117,118.57266363915417,119.95829813639101,120.64357091626087,1,6,5,8,8238672,"AZE",31,"Asia","Western Asia","Europe & Central Asia",119.29493206123961
"Bahamas","BHS",145.70451469319255,146.04131691658239,142.36127208156162,140.90503792354315,141.00237511023869,139.53002431429775,145.10521279475063,143.32308922392986,144.41902997318078,145.86675525724172,145.97572346539081,147.21520063191483,146.77771565136007,147.38532239077452,147.53582475255573,147.25804358800909,146.93869933611793,146.44536540080219,1,1,2,5,309156,"BHS",44,"North America","Caribbean","Latin America & Caribbean",144.98836241696912
"Bahrain","BHR",120.83373260555828,116.6150749048834,114.48597739361378,116.19284642653707,114.44068814081133,107.60197529430398,98.579265064682161,93.092669791946548,87.358602093393259,81.407062798181826,77.942037241894013,75.321933528756631,73.538817509030963,71.368449127987745,69.76033938352812,69.5041799979616,69.1562285717703,68.826121498633469,1,1,1,9,727785,"BHR",48,"Asia","Western Asia","Middle East & North Africa",90.3347778540819
"Bangladesh","BGD",90.001832545836834,87.825537750530984,86.972157747865481,86.86739034882693,86.294721295601676,86.188916858563516,86.0413660456908,86.569719863004337,86.3822206193145,85.058161570032269,85.234599122137283,83.110834854934382,81.182992122919273,81.271418821364037,83.524572343656374,82.85256983960592,82.164375906662542,83.086273753655448,3,4,7,7,156050883,"BGD",50,"Asia","Southern Asia","South Asia",85.034981189455692
"Barbados","BRB",150.20794378446206,148.00872265538987,149.41919666595231,148.37256984097709,150.31093435671616,150.99603429638773,148.47017116234608,146.170303436702,145.55420312545451,144.0773151984996,144.41414649545396,143.54249849486135,141.04215287587391,140.66212367242161,141.53977820935589,141.74606877408303,141.49229537127192,141.55865557714972,4,1,5,3,284589,"BRB",52,"North America","Caribbean","Latin America & Caribbean",145.42139522185326
"Belarus","BLR",147.99565621692523,150.48480500646971,153.18628556090675,147.76743223913377,146.35872632809509,149.01945231610239,143.95195397118567,137.56395095395297,137.87925023901346,138.89136485501064,142.3750711399671,141.20665791641861,127.89364228611956,125.15477142862497,122.18060835699083,117.96683477295258,117.25044241282129,117.92455179654064,1,1,5,11,9648533,"BLR",112,"Europe","Eastern Europe","Europe & Central Asia",136.9473032109573
"Belgium","BEL",161.35912253534835,158.19391371836929,156.864353150686,153.29195559523077,150.527845063706,150.13004044537158,146.37191553434093,148.00738836071545,149.19708195005271,148.75445935385744,148.0818783021453,147.10593278147354,146.30495641961744,144.10158684529335,138.93521903581455,138.31512960998617,134.13868704695574,132.24679195104954,3,2,1,8,10414336,"BEL",56,"Europe","Western Europe","Europe & Central Asia",147.32934765000078
"Belize","BLZ",115.23365513718792,113.13410806198881,116.12733378942096,116.6478512286793,114.36437250170447,112.38144295328736,111.5871157380992,108.91646976436715,107.01758482748575,106.34493200362046,104.95390536441344,104.41270815207629,104.38191391115258,104.24310818776853,104.26084933607225,105.36560453029662,106.22401304017977,106.14328492412905,1,4,5,7,307899,"BLZ",84,"North America","Central America","Latin America & Caribbean",108.98556963621833
"Benin","BEN",116.8234644486961,116.91896355574983,117.11177475514944,116.879829378117,116.70531584797982,116.10148381154329,116.00361842436182,115.97859679772881,115.75405480982131,116.16141140751651,116.59336207710631,117.39248624848376,117.98656391636803,117.95196061216856,117.52433696092839,116.75745032360821,116.08762180131677,115.69463455393995,1,2,2,12,8791832,"BEN",204,"Africa","Western Africa","Sub-Saharan Africa",116.69038498503244
"Bermuda","BMU",154.1324554056286,150.89582419955792,151.12039205299504,149.67601339287694,145.84156126120328,141.67659862676692,140.14710250726279,137.20363153296177,136.28469677023335,135.23358609133015,133.76838967178429,131.12862717602297,130.23299932126733,128.85453963077921,127.88532210090055,126.45275057793764,126.14568346300788,125.53744748000845,6,6,6,3,67837,"BMU",60,"North America","Northern America","North America",137.3454234034736
"Bhutan","BTN",88.112841143126658,87.339560608464538,86.540738648599984,86.385522402367613,85.926000446655124,85.7161839734177,85.190930004189141,84.938108761057066,84.54399110441561,84.405822394562833,83.952240904046363,83.388426317227768,82.80768071079919,82.372711939177591,81.933772012163089,81.571506066421051,81.217408501797891,80.786929661058437,5,6,1,8,691141,"BTN",64,"Asia","Southern Asia","South Asia",84.285020866641531
"Bolivia","BOL",165.27782800052682,163.39070457436287,162.80438164405282,161.61602958682016,159.99900653894639,159.09107167332144,157.46714583215109,157.20061349879529,156.08699264024662,154.87830161671829,153.6711748232361,152.37157841334408,151.04341793500524,149.76943662874581,148.62198620139534,147.70435594345113,146.88890251107736,146.16907302316633,1,5,2,3,9775246,"BOL",68,"South America","South America","Latin America & Caribbean",155.22511117140905
"Bosnia and Herzegovina","BIH",137.51039049906814,140.07800513768186,142.78357214666028,141.63949408096,141.97732628977758,148.44778367578076,148.13977161885907,153.05773796996371,149.37610187674238,149.79680870749203,149.26587417259785,149.35953780964357,148.38072223844532,150.10460541655036,151.21142378247521,152.77942899420958,152.1950130216587,151.39277314377671,1,1,1,2,4613414,"BIH",70,"Europe","Southern Europe","Europe & Central Asia",147.63868725457462
"Botswana","BWA",109.53553904408778,111.63137613635163,115.32344789013996,119.06830595565624,121.43799985529185,121.90721893133454,121.38560594509313,119.09169753676343,121.49939427291267,121.768920478052,120.42612897594628,120.00014932616297,119.08543236044669,119.618987217203,119.90353696447241,119.41929420486727,117.43358926085902,115.83076717052379,6,5,7,3,1990876,"BWA",72,"Africa","Southern Africa","Sub-Saharan Africa",118.57596619589803
"Brazil","BRA",121.88976060279924,121.49302954024506,121.03509630345212,121.25257782104445,120.41958828952811,118.25976922367951,117.3626874860429,116.51395576798018,115.3493028443595,114.54493839890465,114.02473023059015,113.07003837306038,111.53783685509805,110.2176267149805,108.70589542280649,108.23175400108472,109.01432910096042,109.57669809419977,5,6,5,7,198739269,"BRA",76,"South America","South America","Latin America & Caribbean",115.13886750393424
"Brunei","BRN",148.9605239269666,147.67258460296671,147.57343285317702,148.25162308942529,149.33488896915259,149.90956735732831,150.62645095677453,151.92001760074558,153.26694592368545,154.40679096749369,156.12660181338185,160.56568811640602,161.6394836785156,161.25339195195912,161.07262936374997,162.17384196412755,160.85458916062609,157.94359673062968,4,6,6,12,388190,"BRN",96,"Asia","South-Eastern Asia","East Asia & Pacific",154.64181383483952
